Headline,Body ID,Stance,,,,,,
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,agree,,,,,,
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,agree,,,,,,
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,agree,,,,,,
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,agree,,,,,,
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",295,agree,,,,,,
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,agree,,,,,,
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,agree,,,,,,
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,agree,,,,,,
Student accidentally sets college on fire during fireworks proposal,1592,agree,,,,,,
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,agree,,,,,,
Indian civil servant sacked 'after 24-year sickie',2441,agree,,,,,,
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,agree,,,,,,
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,agree,,,,,,
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1818,agree,,,,,,
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,agree,,,,,,
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2115,agree,,,,,,
Met police denies reports of Banksy arrest,949,agree,,,,,,
Video: Marine saved by helmet after Taliban sniper attack,488,agree,,,,,,
Vogue’s Rat Infestation: Disturbing New Details,2064,agree,,,,,,
Video: Marine survives Taliban sniper headshot thanks to helmet,2046,agree,,,,,,
Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,agree,,,,,,
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2061,agree,,,,,,
British hostage David Haines beheaded by Islamic State terrorists,2206,agree,,,,,,
"Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge",1058,agree,,,,,,
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,agree,,,,,,
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1580,agree,,,,,,
"Despite no Ebola case in Kansas City, the rumor goes viral",1943,agree,,,,,,
Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems,1148,agree,,,,,,
Man who skipped work for 24 years is finally fired,1951,agree,,,,,,
Michael Phelps’ alleged girlfriend says she was born intersex,1349,agree,,,,,,
Scientists Doubt That Meteor Caused Crater In Nicaragua,2475,agree,,,,,,
URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,969,agree,,,,,,
"No, that high school kid didn't make $72 million trading stocks",2407,agree,,,,,,
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1084,agree,,,,,,
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1958,agree,,,,,,
Mum Offers to Sell Twin Boy to Save Twin Girl,1627,agree,,,,,,
Cold Turkey,1949,agree,,,,,,
Soldier shot at War Memorial; multiple shots fired in Parliament,2156,agree,,,,,,
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1374,agree,,,,,,
God Is A Woman – Resurrected Father Narated,1849,agree,,,,,,
Matt Taibbi on leave of absence from First Look Media,879,agree,,,,,,
"Managua explosion not a meteorite, NASA suggests",1213,agree,,,,,,
What One Homeless Man Does with $100 Will Astonish You (VIDEO),2305,agree,,,,,,
Breaking: Soldier shot at National War Memorial in Ottawa,1089,agree,,,,,,
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1959,agree,,,,,,
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,458,agree,,,,,,
Ottawa shooting: Slain soldier named as Nathan Cirillo while suspect identified as Michael Zehaf-Bibeau,1380,agree,,,,,,
Priest who died for 48 minutes says he met God and she’s a woman,1008,agree,,,,,,
The baby from Teletubbies reveals herself,2076,agree,,,,,,
Her Majesty’s magic mushrooms,2424,agree,,,,,,
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2450,agree,,,,,,
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",2524,agree,,,,,,
WTC rats scare off Anna Wintour,1045,agree,,,,,,
Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,2326,agree,,,,,,
"Explosion reported near the Nicaraguan capital attributed to meteorite impact, but experts, including NASA, cast doubt on claims",1594,agree,,,,,,
"No, Saudi TV Didn't Blur Out Michelle Obama's Face When the President Met King Salman",343,agree,,,,,,
Real-life Magneto boy 'becomes living magnet' after getting massive electric shock from street lamp,2215,agree,,,,,,
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",1831,agree,,,,,,
"No, that broken pencil illustration isn't by Banksy",2375,agree,,,,,,
A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament,321,agree,,,,,,
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",2043,agree,,,,,,
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2067,agree,,,,,,
"RCMP release security footage of Michael Zehaf Bibeau during attack, say he shot soldier in back",1380,agree,,,,,,
Government fires employee who skipped work for 24 years,2134,agree,,,,,,
Christian Bale Exits Steve Jobs Movie (Exclusive),755,agree,,,,,,
Pentagon: ISIS Got U.S. Weapons Package,1485,agree,,,,,,
ISIS Beheads American Journalist,2450,agree,,,,,,
The Chinese Guide to Avoiding a Bad English Name,1789,agree,,,,,,
